physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,clean,clean_minus_baseline
BCG2-4,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,51.996071757416495,41.2953805623848,-10.700691195031695
BCG2-5,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,33.97413237346059,28.913898859636426,-5.060233513824166
BCG2-5,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,46.204495253339466,35.476272747301614,-10.728222506037852
BCG2-5,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,38.39182795116706,27.65436751504602,-10.73746043612104
BCG2-5,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,52.53052115142421,40.15018862653535,-12.380332524888857
BCG2-6,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,33.6646348741507,30.227393157484045,-3.437241716666655
BCG2-6,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,46.13435562547578,36.92434341772704,-9.21001220774874
BCG2-6,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,42.41079831053571,28.09068200639268,-14.320116304143031
BCG2-6,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,51.43106902425966,40.43931931375628,-10.991749710503385
BCG2-7,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.92419652548669,28.69513668640665,-6.229059839080044
BCG2-7,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,46.22197587056285,33.66562063434381,-12.55635523621904
BCG2-7,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,40.35919062775652,24.44479725476046,-15.91439337299606
BCG2-7,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.02716224102582,37.75014768287516,-12.277014558150661
BCG2-8,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,35.04904042195061,31.41151731945483,-3.637523102495777
BCG2-8,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.389795995274376,34.467705316986546,-9.92209067828783
BCG2-8,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,40.5026483880485,25.16228929230845,-15.340359095740048
BCG2-8,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.61073628073175,38.68078639769362,-11.929949883038127
BCG3-1,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.760935313161816,30.15792593757208,-4.603009375589735
BCG3-1,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,48.4958945964547,38.36594641021581,-10.129948186238884
BCG3-1,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,40.52784631623146,28.027213307194693,-12.500633009036768
BCG3-1,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,55.70636393352476,41.797436222373925,-13.908927711150838
BCG3-2,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,38.17024567327385,32.9351088524685,-5.235136820805344
BCG3-2,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,47.00711696709815,38.34438567273778,-8.66273129436037
BCG3-2,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.48501363770608,27.73271916540019,-11.752294472305891
BCG3-2,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.54215385115292,40.41301323588603,-10.129140615266891
BCG3-3,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.92656448153354,29.240354526799223,-5.686209954734316
