component,explained_variance_ratio,cumulative_variance_ratio,n_physical_samples
1,0.4153434124904527,0.4153434124904527,32
2,0.28768663185581533,0.703030044346268,32
3,0.1408006147738121,0.8438306591200802,32
4,0.05726412322309049,0.9010947823431706,32
5,0.04193574777572321,0.9430305301188938,32
6,0.028980116612599693,0.9720106467314935,32
7,0.014440455693456393,0.9864511024249499,32
8,0.009453990375193016,0.9959050928001429,32
9,0.004094907199856989,0.9999999999999999,32
